protein,gene_id,human_orth_id,human_pident,human_evalue,human_score,dog_orth_id,dog_pident,dog_evalue,dog_score,pig_orth_id,pig_pident,pig_evalue,pig_score,ferret_orth_id,ferret_pident,ferret_evalue,ferret_score
XP_012919382.1,SPIB,,,,,ENSCAFP00000004379,90.5,1.18e-176,494,,,,,,,,
XP_012919386.1,SAE1,,,,,ENSCAFP00000006211,80.9,1.57e-191,535,ENSSSCP00000003367,81.2,9.09e-191,533,ENSMPUP00000004926,83.2,1.72e-195,545
XP_012919390.1,IRF3,,,,,,,,,,,,,ENSMPUP00000002449,100,0.0,879
XP_012919391.1,IRF3,,,,,,,,,,,,,ENSMPUP00000002449,100,0.0,879
XP_012919392.1,IRF3,,,,,,,,,,,,,ENSMPUP00000002449,100,0.0,879
XP_012919395.1,LOC101690142,,,,,,,,,,,,,ENSMPUP00000005832,99.5,2.35e-177,505
XP_012919396.1,OPA3,,,,,,,,,,,,,ENSMPUP00000005824,99.3,1.30e-88,265
XP_012919400.1,HIF3A,,,,,,,,,,,,,ENSMPUP00000005247,97.6,0.0,1250
XP_012919401.1,HIF3A,,,,,,,,,,,,,ENSMPUP00000005247,100,0.0,1179
XP_012919402.1,HIF3A,,,,,,,,,,,,,ENSMPUP00000005247,100,0.0,1082
XP_012919403.1,HIF3A,,,,,,,,,,,,,ENSMPUP00000005247,100,0.0,1082
XP_012919404.1,HIF3A,,,,,,,,,,,,,ENSMPUP00000005247,100,0.0,1082
XP_012919405.1,HIF3A,,,,,,,,,,,,,ENSMPUP00000005247,100,0.0,928
XP_012919406.1,ALDH16A1,,,,,,,,,,,,,ENSMPUP00000002622,100,0.0,1575
XP_012919407.1,FLT3LG,,,,,,,,,,,,,ENSMPUP00000002583,87.6,4.05e-161,460
XP_012919408.2,FLT3LG,,,,,,,,,,,,,ENSMPUP00000002583,93.8,1.17e-180,509
XP_012919409.1,FLT3LG,,,,,,,,,,,,,ENSMPUP00000002583,93.8,2.91e-181,507
XP_012919410.1,CIC,,,,,,,,,,,,,ENSMPUP00000007501,100.0,0.0,4229
XP_012919411.1,CIC,,,,,,,,,,,,,ENSMPUP00000007501,100,0.0,4233
XP_012919412.1,CIC,,,,,,,,,,,,,ENSMPUP00000007501,99.9,0.0,4220
XP_012919415.2,CIC,,,,,,,,,,,,,ENSMPUP00000007501,99.9,0.0,2576
XP_012919418.1,PAFAH1B3,,,,,ENSCAFP00000007239,97.8,2.32e-129,369,,,,,ENSMPUP00000007518,100,1.86e-132,377
XP_012919421.1,ZNF576,,,,,,,,,,,,,ENSMPUP00000006672,100,2.06e-78,238
XP_012919425.1,NOP53,,,,,,,,,,,,,ENSMPUP00000004422,100,0.0,889
XP_012919430.2,POU2F2,,,,,,,,,,,,,ENSMPUP00000007478,100,2.16e-190,533
XP_012919431.1,MEGF8,ENSP00000251268,92.7,0.0,5469,ENSCAFP00000007208,96.5,0.0,5593,ENSSSCP00000003272,94.9,0.0,5494,,,,
XP_012919437.1,TRPM4,,,,,,,,,,,,,ENSMPUP00000002991,100,0.0,2353
XP_012919438.1,TRPM4,,,,,,,,,,,,,ENSMPUP00000002991,100,0.0,2162
XP_012919441.1,ERCC1,,,,,,,,,,,,,ENSMPUP00000005896,100,1.31e-211,584
XP_012919442.1,AHI1,,,,,,,,,,,,,ENSMPUP00000014707,98.1,0.0,2238
XP_012919446.1,AHI1,,,,,,,,,,,,,ENSMPUP00000014707,100,0.0,2251
XP_012919447.1,SMG9,ENSP00000270066,94.0,0.0,897,ENSCAFP00000007041,97.4,0.0,912,,,,,ENSMPUP00000006539,99.4,0.0,920
XP_012919448.1,SMG9,ENSP00000270066,94.0,0.0,897,ENSCAFP00000007041,97.4,0.0,912,,,,,ENSMPUP00000006539,99.4,0.0,920
XP_012919449.1,AHI1,,,,,,,,,,,,,ENSMPUP00000014707,90.7,0.0,2024
XP_012919451.1,NUCB1,,,,,,,,,,,,,ENSMPUP00000003328,100,4.47e-265,733
XP_012919452.1,NUCB1,,,,,,,,,,,,,ENSMPUP00000003328,97.6,1.03e-251,699
XP_012919453.1,ARHGEF1,,,,,,,,,,,,,ENSMPUP00000007177,100,0.0,1872
XP_012919454.1,ARHGEF1,,,,,,,,,,,,,ENSMPUP00000007177,100,0.0,1872
XP_012919457.1,ARHGEF1,,,,,,,,,,,,,ENSMPUP00000007177,100,0.0,1850
XP_012919458.1,ARHGEF1,,,,,,,,,,,,,ENSMPUP00000007177,100,0.0,1850
XP_012919460.1,SYMPK,ENSP00000245934,97.2,0.0,2110,ENSCAFP00000006517,98.4,0.0,2128,ENSSSCP00000003349,97.2,0.0,2118,ENSMPUP00000005463,97.8,0.0,2107
XP_012919461.1,AHI1,,,,,,,,,,,,,ENSMPUP00000014707,97.5,0.0,1922
XP_012919462.1,GRIK5,ENSP00000262895,97.0,0.0,1853,,,,,,,,,,,,
XP_012919463.2,CCDC9,,,,,,,,,,,,,ENSMPUP00000004902,99.7,9.06e-250,701
XP_012919470.1,C5AR2,,,,,,,,,,,,,ENSMPUP00000019240,100,2.17e-243,668
XP_012919478.2,MAMSTR,,,,,,,,,,,,,ENSMPUP00000003761,94.7,6.98e-270,744
XP_012919484.2,NAPA,ENSP00000263354,96.9,2.77e-180,505,ENSCAFP00000006101,99.6,2.59e-185,518,ENSSSCP00000003378,97.3,3.93e-180,504,ENSMPUP00000004475,99.6,2.59e-185,518
XP_012919485.1,TEAD2,ENSP00000472109,94.0,8.04e-298,815,ENSCAFP00000005516,98.2,1.41e-302,827,,,,,ENSMPUP00000002661,99.1,6.29e-302,830
XP_012919486.1,TEAD2,ENSP00000472109,92.1,7.77e-289,792,ENSCAFP00000005516,94.5,2.80e-286,786,,,,,ENSMPUP00000002661,97.1,6.00e-293,806
