protein,gene_id,orth_id,pident,evalue,score
XP_012919386.1,SAE1,ENSMPUP00000004926,83.2,1.72e-195,545
XP_012919390.1,IRF3,ENSMPUP00000002449,100,0.0,879
XP_012919391.1,IRF3,ENSMPUP00000002449,100,0.0,879
XP_012919392.1,IRF3,ENSMPUP00000002449,100,0.0,879
XP_012919395.1,LOC101690142,ENSMPUP00000005832,99.5,2.35e-177,505
XP_012919396.1,OPA3,ENSMPUP00000005824,99.3,1.30e-88,265
XP_012919400.1,HIF3A,ENSMPUP00000005247,97.6,0.0,1250
XP_012919401.1,HIF3A,ENSMPUP00000005247,100,0.0,1179
XP_012919402.1,HIF3A,ENSMPUP00000005247,100,0.0,1082
XP_012919403.1,HIF3A,ENSMPUP00000005247,100,0.0,1082
XP_012919404.1,HIF3A,ENSMPUP00000005247,100,0.0,1082
XP_012919405.1,HIF3A,ENSMPUP00000005247,100,0.0,928
XP_012919406.1,ALDH16A1,ENSMPUP00000002622,100,0.0,1575
XP_012919407.1,FLT3LG,ENSMPUP00000002583,87.6,4.05e-161,460
XP_012919408.2,FLT3LG,ENSMPUP00000002583,93.8,1.17e-180,509
XP_012919409.1,FLT3LG,ENSMPUP00000002583,93.8,2.91e-181,507
XP_012919410.1,CIC,ENSMPUP00000007501,100.0,0.0,4229
XP_012919411.1,CIC,ENSMPUP00000007501,100,0.0,4233
XP_012919412.1,CIC,ENSMPUP00000007501,99.9,0.0,4220
XP_012919415.2,CIC,ENSMPUP00000007501,99.9,0.0,2576
XP_012919418.1,PAFAH1B3,ENSMPUP00000007518,100,1.86e-132,377
XP_012919421.1,ZNF576,ENSMPUP00000006672,100,2.06e-78,238
XP_012919425.1,NOP53,ENSMPUP00000004422,100,0.0,889
XP_012919430.2,POU2F2,ENSMPUP00000007478,100,2.16e-190,533
XP_012919437.1,TRPM4,ENSMPUP00000002991,100,0.0,2353
XP_012919438.1,TRPM4,ENSMPUP00000002991,100,0.0,2162
XP_012919441.1,ERCC1,ENSMPUP00000005896,100,1.31e-211,584
XP_012919442.1,AHI1,ENSMPUP00000014707,98.1,0.0,2238
XP_012919446.1,AHI1,ENSMPUP00000014707,100,0.0,2251
XP_012919447.1,SMG9,ENSMPUP00000006539,99.4,0.0,920
XP_012919448.1,SMG9,ENSMPUP00000006539,99.4,0.0,920
XP_012919449.1,AHI1,ENSMPUP00000014707,90.7,0.0,2024
XP_012919451.1,NUCB1,ENSMPUP00000003328,100,4.47e-265,733
XP_012919452.1,NUCB1,ENSMPUP00000003328,97.6,1.03e-251,699
XP_012919453.1,ARHGEF1,ENSMPUP00000007177,100,0.0,1872
XP_012919454.1,ARHGEF1,ENSMPUP00000007177,100,0.0,1872
XP_012919457.1,ARHGEF1,ENSMPUP00000007177,100,0.0,1850
XP_012919458.1,ARHGEF1,ENSMPUP00000007177,100,0.0,1850
XP_012919460.1,SYMPK,ENSMPUP00000005463,97.8,0.0,2107
XP_012919461.1,AHI1,ENSMPUP00000014707,97.5,0.0,1922
XP_012919463.2,CCDC9,ENSMPUP00000004902,99.7,9.06e-250,701
XP_012919470.1,C5AR2,ENSMPUP00000019240,100,2.17e-243,668
XP_012919478.2,MAMSTR,ENSMPUP00000003761,94.7,6.98e-270,744
XP_012919484.2,NAPA,ENSMPUP00000004475,99.6,2.59e-185,518
XP_012919485.1,TEAD2,ENSMPUP00000002661,99.1,6.29e-302,830
XP_012919486.1,TEAD2,ENSMPUP00000002661,97.1,6.00e-293,806
XP_012919487.1,CD37,ENSMPUP00000002682,100,1.61e-150,427
XP_012919489.1,ZNF229,ENSMPUP00000006399,100,0.0,910
XP_012919490.1,ZNF229,ENSMPUP00000006399,100,0.0,910
XP_012919491.1,ZNF180,ENSMPUP00000006390,100,2.65e-236,677
XP_012919492.1,ZNF180,ENSMPUP00000006390,100,2.65e-236,677
XP_012919493.1,ZNF285,ENSMPUP00000006408,100,1.04e-205,597
XP_012919494.1,VRK3,ENSMPUP00000002265,100,3.84e-315,860
XP_012919496.1,LIG1,ENSMPUP00000004276,100,0.0,1673
XP_012919497.1,FCGRT,ENSMPUP00000002567,100,1.17e-272,744
XP_012919499.1,FCGRT,ENSMPUP00000002567,100,1.17e-272,744
XP_012919500.1,FCGRT,ENSMPUP00000002567,100,1.17e-272,744
XP_012919505.1,ZNF175,ENSMPUP00000001347,100,8.29e-238,683
XP_012919506.1,ZNF175,ENSMPUP00000001347,89.5,1.50e-202,592
XP_012919507.1,ZNF175,ENSMPUP00000001347,100,1.58e-144,440
XP_012919520.1,BCLAF1,ENSMPUP00000014720,100,0.0,1332
XP_012919523.1,BCLAF1,ENSMPUP00000014720,94.1,0.0,1211
XP_012919524.1,VSIG10L,ENSMPUP00000001408,88.0,0.0,1361
XP_012919525.1,CBLC,ENSMPUP00000006254,98.1,0.0,938
XP_012919526.1,BCLAF1,ENSMPUP00000014720,94.1,0.0,1211
XP_012919527.1,CBLC,ENSMPUP00000006254,100,0.0,1014
XP_012919529.1,CBLC,ENSMPUP00000006254,87.6,3.72e-295,813
XP_012919530.1,CCDC61,ENSMPUP00000005389,100,2.45e-295,815
XP_012919531.1,CCDC61,ENSMPUP00000005389,100,2.45e-295,815
XP_012919534.1,CPT1C,ENSMPUP00000002372,95.5,0.0,1537
XP_012919535.1,PRMT1,ENSMPUP00000002374,99.1,2.79e-253,695
XP_012919536.1,PRMT1,ENSMPUP00000002374,99.1,6.52e-253,694
